,id,address,dock_bikes,free_bases,total_bases,latitude,longitude
78,86,Plaza del Emperador Carlos V nº 11,8,14,22,40.409296999999995,-3.691987
79,87,Calle Doctor Esquerdo nº 161,15,8,23,40.4084556,-3.6697526
80,88,Calle Pío Baroja nº 10,10,13,23,40.4130243,-3.6751105
81,89,Calle Doctor Esquerdo nº 191,14,8,22,40.4032501,-3.6726019
82,90,Avenida de Menéndez Pelayo nº 11,11,13,24,40.421501,-3.6800080000000004
83,91,Paseo del Prado nº 1,4,15,19,40.4186148,-3.692621700000001
84,92,Calle Ayala nº 44,5,18,23,40.427735999999996,-3.6832566
85,93,Calle Velázquez nº 75,7,15,22,40.4313576,-3.6838303
86,94,Calle Ayala nº 102,9,13,22,40.427258200000004,-3.6752024
87,95,Calle Goya nº 18,8,21,29,40.4250361,-3.6837876000000014
88,96,Calle Hermosilla nº 70,8,13,21,40.42613400000001,-3.6787441
89,97,Calle Claudio Coello nº 45,5,17,22,40.4262945,-3.6865463
90,98,Calle Goya nº 1,4,18,22,40.4257046,-3.6893697999999997
91,99,Paseo de Recoletos nº 32-34,4,15,19,40.422699,-3.6909648
92,100,Calle Claudio Coello nº 109,4,18,22,40.422658399999996,-3.6870547999999994
93,101,Calle Alcalá nº 111,7,17,24,40.422064,-3.6821792999999996
94,102,Avenida de Menéndez Pelayo nº 3,8,18,26,40.4226906,-3.6801307
95,103,Plaza de Felipe II,8,14,22,40.4242625,-3.675356700000002
96,104,Calle Alcántara nº 2,7,16,23,40.42618510000001,-3.6738714
97,105,Calle Goya nº 99,8,15,23,40.42484570000001,-3.6738635000000004
98,106,Calle Jorge Juan nº 131,15,7,22,40.4231526,-3.6691523
99,107,Calle Alcalá nº 95,5,17,22,40.4211802,-3.6840229
100,108,Calle Ortega y Gasset nº 6,6,16,22,40.43030570000001,-3.6865654
101,109,Paseo de la Castellana nº 4,5,15,20,40.4268331,-3.6895336000000003
102,110,Calle Serrano nº 54,5,17,22,40.4267905,-3.6873921999999997
103,111,Calle Serrano nº 34,6,11,17,40.4251002,-3.6877226999999997
104,112,Calle Serrano nº 34,4,13,17,40.424963,-3.6877449999999996
105,113,Calle Serrano nº 6,4,18,22,40.42152460000001,-3.6884368999999997
106,114,Calle Mártires Concepcionistas nº 2,14,11,25,40.4273005,-3.6706024
107,115,Calle José Ortega y Gasset nº 30,6,17,23,40.4300481,-3.6816402000000004
108,116,Paseo de Moret nº 2,6,16,22,40.4344969,-3.7206892999999996
109,117,Calle Arcipreste de Hita nº 12,9,14,23,40.4337322,-3.7175434999999997
110,118,Calle Arcipreste de Hita nº 12,9,13,22,40.4337036,-3.7175114999999996
111,119,Paseo de Moret nº 11,9,13,22,40.432599100000004,-3.7246532
112,120,Paseo del Pintor Rosales nº 38,8,13,21,40.427657,-3.7205129
113,121,Calle Quintana nº 11-13,10,12,22,40.4277456,-3.7174157999999995
114,122,Calle Evaristo San Miguel nº 2,9,14,23,40.425394399999995,-3.7170447999999996
115,123,Plaza de España,8,14,22,40.42402,-3.7116029999999998
116,124,Plaza de España,7,15,22,40.42412,-3.711703
117,125,Calle Altamirano nº 24,13,9,22,40.4309797,-3.7188898
118,126,Calle Juan Martín el Empecinado nº 14,10,12,22,40.400781,-3.6882406999999997
119,127,Calle Méndez Álvaro nº 11,10,13,23,40.4013216,-3.6863218
120,128,Calle Palos de la Frontera nº 40,15,7,22,40.4032208,-3.6944767999999995
121,129,Paseo de Santa María de la Cabeza nº 58,16,6,22,40.4017926,-3.6987665
122,130,Calle Santa Engracia nº 14,7,16,23,40.4295863,-3.6963983
123,131,Calle Guzmán el Bueno nº 2,11,10,21,40.4306458,-3.7133412000000003
124,169,Calle Manuel Silvela nº 20,14,8,22,40.430952399999995,-3.6993465
125,164,Calle Fernández de la Hoz nº 29,8,14,22,40.435285,-3.6948626000000004
126,163,Calle del General Álvarez de Castro nº 2,16,6,22,40.43447310000001,-3.7015686000000003
127,168,Calle Fernando el Católico nº 19,16,6,22,40.4338516,-3.708439
128,160,Calle Cea Bermúdez nº 59,12,12,24,40.438994,-3.7154328999999997
129,161,Calle José Abascal nº 33,16,6,22,40.4385316,-3.6982209000000004
130,157,Calle Santa Engracia nº 127,13,4,17,40.441386,-3.7016321000000003
131,156,Calle Bravo Murillo nº 44,11,12,23,40.4412115,-3.7039582
132,149,Calle Santa Engracia nº 168,14,8,22,40.4463667,-3.7036675000000003
133,150,Calle Raimundo Fernández Villaverde nº 33-35,10,11,21,40.447125,-3.7001669
134,153,Calle María de Guzmán nº 58,8,15,23,40.4440297,-3.6956047
135,158,Plaza de San Juan de la Cruz nº 11,8,15,23,40.4415974,-3.6927821000000014
136,151,Paseo de la Castellana nº 106,8,14,22,40.4453307,-3.690861
137,152,Plaza de la República Argentina nº 6-7,7,16,23,40.445411,-3.6853312000000007
138,154,Paseo de la Castellana nº 67,4,18,22,40.445741399999996,-3.6917932
139,159,Calle José Gutiérrez Abascal nº 2,7,15,22,40.4396792,-3.6907784
140,162,Calle Velázquez nº 130,7,16,23,40.4379444,-3.682862
141,165,Paseo de la Castellana nº 43,2,9,11,40.4355143,-3.6892367999999993
142,167,Paseo de la Castellana nº 42,6,15,21,40.43340870000001,-3.6879154
143,166,Calle Diego de León nº 52,9,12,21,40.4345973,-3.678492
144,170,Calle Juan Bravo nº 50,9,13,22,40.4323655,-3.6758555
145,171,Calle Ortega y Gasset nº 87,11,11,22,40.429887,-3.6712822999999997
146,155,Calle María Francisca nº 1,9,7,16,40.4442258,-3.6787169
147,148,Avenida del Doctor Arce nº 45,8,14,22,40.4483269,-3.6797296000000004
148,144,Calle Serrano nº 210,8,15,23,40.4510188,-3.6817962
149,146,Paseo de la Habana nº 42,8,14,22,40.449861299999995,-3.6881689
150,147,Paseo de la Castellana nº 124,6,16,22,40.4488924,-3.6905604
151,145,Calle Orense nº 12,5,17,22,40.4480662,-3.695286
152,142,Avenida del General Perón nº 1-4,13,9,22,40.4527164,-3.699007700000001
153,143,Avenida del General Perón nº 36,6,16,22,40.4522938,-3.692651
154,141,Calle Orense nº 36,8,14,22,40.4548456,-3.6946218
155,139,Calle del General Yagüe nº 57,14,8,22,40.4572824,-3.7009675000000004
156,140,Calle Sor Ángela de la Cruz nº 2,7,15,22,40.4592351,-3.691533
157,137,Paseo de la Castellana nº 164,11,11,22,40.4591366,-3.6894150999999997
158,138,Avenida de Alberto Alcocer nº 22,7,15,22,40.458531799999996,-3.684715
159,173,Paseo de la Habana nº 63,11,11,22,40.454385200000004,-3.6835926
160,172,Calle Colombia nº 7,10,12,22,40.45724660000001,-3.6763439
161,132,Paseo de la Florida nº 8,13,11,24,40.4220812,-3.7218482
162,133,Paseo de los Olmos nº 28,15,7,22,40.4034076,-3.7108108
163,134,Paseo de la Esperanza nº 2,13,6,19,40.4035988,-3.7064516000000003
164,136,Paseo de las Delicias nº 92-94,15,7,22,40.39726160000001,-3.6945025
165,135,Paseo de la Chopera nº 14,16,8,24,40.3919385,-3.6971828999999996
166,174,"Calle Segovia, 26",12,10,22,40.4138333,-3.7135833
167,175,Estación nueva 1,6,15,21,40.423966,-3.672684
168,176,Estación nueva 2,8,13,21,40.424521,-3.669691
169,177,Estación nueva 3,7,14,21,40.422969,-3.674262
