,id,address,dock_bikes,free_bases,total_bases,latitude,longitude
29,31,Calle Jesús nº 1,8,13,21,40.4132798,-3.6956178
30,32,Calle Alcalá nº 27,3,16,19,40.418166299999996,-3.6992599999999998
31,33,Calle del Marqués de Cubas nº 25,3,18,21,40.4162619,-3.6957355000000005
32,34,Calle Pavía nº 6,8,18,26,40.419209499999994,-3.711504
33,35,Calle Mayor nº 20,10,13,23,40.4163638,-3.7068969
34,36,Plaza de la Provincia nº 1,10,6,16,40.4150099,-3.7061032
36,38,Plaza de Jacinto Benavente,14,7,21,40.4146755,-3.7036824999999998
37,39,Plaza del Cordón nº 1,12,10,22,40.414193100000006,-3.7103285
38,40,Plaza de Ramales nº 1,11,12,23,40.4167281,-3.7124038
39,41,Plaza de San Francisco nº 5,16,6,22,40.41084420000001,-3.7144964
40,42,Carrera de San Francisco nº 1,13,4,17,40.4110406,-3.7120733999999995
41,43,Plaza de la Cebada nº 16 ,17,6,23,40.4112744,-3.7088337
42,44,Plaza del Conde de Romanones nº 9,17,5,22,40.4138846,-3.7049407
44,46,Calle Atocha nº 32,18,3,21,40.410708500000005,-3.6982318
45,47,Calle Lavapiés nº 34-36,17,5,22,40.4101564,-3.7025023999999997
46,48,Calle Mesón de Paredes nº 35,14,4,18,40.409761700000004,-3.7040665999999995
47,49,Glorieta de la Puerta de Toledo nº 1,13,6,19,40.407035799999996,-3.7110513
48,50,Calle Ribera de Curtidores nº 28,15,7,22,40.4053153,-3.7071259
49,51,Glorieta de Embajadores nº 6,12,10,22,40.404785100000005,-3.7028265
50,52,Glorieta de Embajadores nº 2,14,8,22,40.405610700000004,-3.7022591
51,53,Ronda de Atocha nº 34,16,7,23,40.4060941,-3.6992759
52,54,Calle Santa Isabel nº 57,8,12,20,40.4083684,-3.6933462999999995
53,55,Ronda de Atocha nº 2,10,13,23,40.407560600000004,-3.6935205
54,56,Plaza de Santa Ana nº 10,15,5,20,40.4144226,-3.7007163999999997
55,57,Calle Valencia nº 1,16,5,21,40.4089282,-3.7008803
56,58,Calle Barceló nº 7,9,10,19,40.426682799999995,-3.7004230000000002
57,59,Plaza de San Ildefonso nº 3,15,6,21,40.42397570000001,-3.7020842000000003
58,60,Plaza del Carmen nº 1,9,12,21,40.4184192,-3.7032413999999996
59,61,Calle Santa Cruz del Marcenado nº 24,6,16,22,40.4295658,-3.7126299
60,62,Calle Augusto Figueroa nº 33,10,12,22,40.4222862,-3.6978949999999995
61,63,Calle Espíritu Santo nº 30,11,8,19,40.4255495,-3.7043418
62,64,Plaza de la Independencia nº 6,4,18,22,40.419752,-3.6883980000000003
63,65,Calle O'Donnell nº 28,11,12,23,40.42139829999999,-3.6752045
64,66,Calle O'Donnell nº 50,9,13,22,40.4213148,-3.6724968000000002
65,67,Calle Ibiza nº 62,11,11,22,40.4179237,-3.6708959
66,69,Calle Antonio Maura nº 15,6,17,23,40.416560499999996,-3.6904525
67,71,Calle Almadén nº 28,8,14,22,40.4108472,-3.693225
68,72,Calle Espalter nº 1,6,13,19,40.412837200000006,-3.6912023
69,73,Avenida de Alfonso XII nº 54,6,19,25,40.409808,-3.688822
70,74,Avenida de Menéndez Pelayo nº 63,12,10,22,40.41530529999999,-3.6779232000000004
71,75,Calle Doce de Octubre nº 28,15,7,22,40.4159569,-3.6738864999999996
72,76,Calle Doctor Esquerdo nº 99,12,10,22,40.41574129999999,-3.6691837999999994
73,77,Avenida de Nazaret nº 7,15,8,23,40.411447499999994,-3.6689089
74,78,Avenida de Menéndez Pelayo nº 73,13,9,22,40.411762700000004,-3.6766812999999994
75,79,Avenida de Menéndez Pelayo nº 90,15,7,22,40.4082805,-3.6784837999999995
76,80,Avenida del Mediterráneo nº 19,15,7,22,40.407672600000005,-3.6750121
77,81,Plaza del Conde de Casal nº 8,13,7,20,40.40635,-3.6704220000000003
78,82,Calle Cerro de la Plata nº 2,14,8,22,40.400910100000004,-3.6744803999999998
79,83,Avenida de Menéndez Pelayo nº 38,15,8,23,40.4051451,-3.6803873999999994
80,84,Paseo de la Infanta Isabel nº 3,7,15,22,40.4075685,-3.6902255
81,85,Paseo de la Infanta Isabel nº 3,9,16,25,40.4074902,-3.6901233999999996
82,86,Plaza del Emperador Carlos V nº 11,8,14,22,40.409296999999995,-3.691987
83,87,Calle Doctor Esquerdo nº 161,15,8,23,40.4084556,-3.6697526
84,88,Calle Pío Baroja nº 10,10,13,23,40.4130243,-3.6751105
85,89,Calle Doctor Esquerdo nº 191,14,8,22,40.4032501,-3.6726019
86,90,Avenida de Menéndez Pelayo nº 11,11,13,24,40.421501,-3.6800080000000004
87,91,Paseo del Prado nº 1,4,15,19,40.4186148,-3.6926217000000006
88,92,Calle Ayala nº 44,5,18,23,40.427735999999996,-3.6832566
89,93,Calle Velázquez nº 75,7,15,22,40.4313576,-3.6838303
90,94,Calle Ayala nº 102,9,13,22,40.427258200000004,-3.6752024
91,95,Calle Goya nº 18,8,21,29,40.4250361,-3.6837876000000005
92,96,Calle Hermosilla nº 70,8,13,21,40.426134000000005,-3.6787441
93,97,Calle Claudio Coello nº 45,5,17,22,40.4262945,-3.6865463
94,98,Calle Goya nº 1,4,18,22,40.4257046,-3.6893697999999997
95,99,Paseo de Recoletos nº 32-34,4,15,19,40.422699,-3.6909648
96,100,Calle Claudio Coello nº 109,4,18,22,40.422658399999996,-3.6870547999999994
97,101,Calle Alcalá nº 111,7,17,24,40.422064,-3.6821792999999996
98,102,Avenida de Menéndez Pelayo nº 3,8,18,26,40.4226906,-3.6801307
99,103,Plaza de Felipe II,8,14,22,40.4242625,-3.6753567000000005
100,104,Calle Alcántara nº 2,7,16,23,40.426185100000005,-3.6738714
101,105,Calle Goya nº 99,8,15,23,40.424845700000006,-3.6738635000000004
102,106,Calle Jorge Juan nº 131,15,7,22,40.4231526,-3.6691523
103,107,Calle Alcalá nº 95,5,17,22,40.4211802,-3.6840229
104,108,Calle Ortega y Gasset nº 6,6,16,22,40.430305700000005,-3.6865654
105,109,Paseo de la Castellana nº 4,5,15,20,40.4268331,-3.6895336000000003
106,110,Calle Serrano nº 54,5,17,22,40.4267905,-3.6873921999999997
107,111,Calle Serrano nº 34,6,11,17,40.4251002,-3.6877226999999997
108,112,Calle Serrano nº 34,4,13,17,40.424963,-3.6877449999999996
109,113,Calle Serrano nº 6,4,18,22,40.421524600000005,-3.6884368999999997
110,114,Calle Mártires Concepcionistas nº 2,14,11,25,40.4273005,-3.6706024
111,115,Calle José Ortega y Gasset nº 30,6,17,23,40.4300481,-3.6816402000000004
112,116,Paseo de Moret nº 2,6,16,22,40.4344969,-3.7206892999999996
113,117,Calle Arcipreste de Hita nº 12,9,14,23,40.4337322,-3.7175434999999997
114,118,Calle Arcipreste de Hita nº 12,9,13,22,40.4337036,-3.7175114999999996
115,119,Paseo de Moret nº 11,9,13,22,40.432599100000004,-3.7246532
116,120,Paseo del Pintor Rosales nº 38,8,13,21,40.427657,-3.7205129
117,121,Calle Quintana nº 11-13,10,12,22,40.4277456,-3.7174157999999995
118,122,Calle Evaristo San Miguel nº 2,9,14,23,40.425394399999995,-3.7170447999999996
119,123,Plaza de España,8,14,22,40.42402,-3.7116029999999998
120,124,Plaza de España,7,15,22,40.42412,-3.711703
121,125,Calle Altamirano nº 24,13,9,22,40.4309797,-3.7188898
122,126,Calle Juan Martín el Empecinado nº 14,10,12,22,40.400781,-3.6882406999999997
123,127,Calle Méndez Álvaro nº 11,10,13,23,40.4013216,-3.6863218
124,128,Calle Palos de la Frontera nº 40,15,7,22,40.4032208,-3.6944767999999995
125,129,Paseo de Santa María de la Cabeza nº 58,16,6,22,40.4017926,-3.6987665
126,130,Calle Santa Engracia nº 14,7,16,23,40.4295863,-3.6963983
127,131,Calle Guzmán el Bueno nº 2,11,10,21,40.4306458,-3.7133412000000003
128,169,Calle Manuel Silvela nº 20,14,8,22,40.430952399999995,-3.6993465
129,164,Calle Fernández de la Hoz nº 29,8,14,22,40.435285,-3.6948626000000004
130,163,Calle del General Álvarez de Castro nº 2,16,6,22,40.434473100000005,-3.7015686000000003
131,168,Calle Fernando el Católico nº 19,16,6,22,40.4338516,-3.708439
132,160,Calle Cea Bermúdez nº 59,12,12,24,40.438994,-3.7154328999999997
133,161,Calle José Abascal nº 33,16,6,22,40.4385316,-3.6982209000000004
134,157,Calle Santa Engracia nº 127,13,4,17,40.441386,-3.7016321000000003
135,156,Calle Bravo Murillo nº 44,11,12,23,40.4412115,-3.7039582
136,149,Calle Santa Engracia nº 168,14,8,22,40.4463667,-3.7036675000000003
137,150,Calle Raimundo Fernández Villaverde nº 33-35,10,11,21,40.447125,-3.7001669
138,153,Calle María de Guzmán nº 58,8,15,23,40.4440297,-3.6956047
139,158,Plaza de San Juan de la Cruz nº 11,8,15,23,40.4415974,-3.6927821000000005
140,151,Paseo de la Castellana nº 106,8,14,22,40.4453307,-3.690861
141,152,Plaza de la República Argentina nº 6-7,7,16,23,40.445411,-3.6853312000000007
142,154,Paseo de la Castellana nº 67,4,18,22,40.445741399999996,-3.6917932
143,159,Calle José Gutiérrez Abascal nº 2,7,15,22,40.4396792,-3.6907784
144,162,Calle Velázquez nº 130,7,16,23,40.4379444,-3.682862
145,165,Paseo de la Castellana nº 43,2,9,11,40.4355143,-3.6892367999999993
146,167,Paseo de la Castellana nº 42,6,15,21,40.43340870000001,-3.6879154
147,166,Calle Diego de León nº 52,9,12,21,40.4345973,-3.678492
148,170,Calle Juan Bravo nº 50,9,13,22,40.4323655,-3.6758555
149,171,Calle Ortega y Gasset nº 87,11,11,22,40.429887,-3.6712822999999997
150,155,Calle María Francisca nº 1,9,7,16,40.4442258,-3.6787169
151,148,Avenida del Doctor Arce nº 45,8,14,22,40.4483269,-3.6797296000000004
152,144,Calle Serrano nº 210,8,15,23,40.4510188,-3.6817962
153,146,Paseo de la Habana nº 42,8,14,22,40.449861299999995,-3.6881689
154,147,Paseo de la Castellana nº 124,6,16,22,40.4488924,-3.6905604
155,145,Calle Orense nº 12,5,17,22,40.4480662,-3.695286
156,142,Avenida del General Perón nº 1-4,13,9,22,40.4527164,-3.6990077000000006
157,143,Avenida del General Perón nº 36,6,16,22,40.4522938,-3.692651
158,141,Calle Orense nº 36,8,14,22,40.4548456,-3.6946218
159,139,Calle del General Yagüe nº 57,14,8,22,40.4572824,-3.7009675000000004
160,140,Calle Sor Ángela de la Cruz nº 2,7,15,22,40.4592351,-3.691533
161,137,Paseo de la Castellana nº 164,11,11,22,40.4591366,-3.6894150999999997
162,138,Avenida de Alberto Alcocer nº 22,7,15,22,40.458531799999996,-3.684715
163,173,Paseo de la Habana nº 63,11,11,22,40.454385200000004,-3.6835926
164,172,Calle Colombia nº 7,10,12,22,40.457246600000005,-3.6763439
165,132,Paseo de la Florida nº 8,13,11,24,40.4220812,-3.7218482
166,133,Paseo de los Olmos nº 28,15,7,22,40.4034076,-3.7108108
167,134,Paseo de la Esperanza nº 2,13,6,19,40.4035988,-3.7064516000000003
168,136,Paseo de las Delicias nº 92-94,15,7,22,40.39726160000001,-3.6945025
169,135,Paseo de la Chopera nº 14,16,8,24,40.3919385,-3.6971828999999996
170,174,"Calle Segovia, 26",12,10,22,40.4138333,-3.7135833
